country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Caribbean Netherlands,North America,1519,14,1396,109,,57510,530,10011,379018,26413
Cayman Islands,North America,516,2,487,27,,7780,30,84802,1278641,66322
Central African Republic,Africa,5491,74,5056,361,2,1122,15,40907,8357,4894947
Chad,Africa,4641,167,4298,176,,276,10,110863,6603,16789929
Channel Islands,Europe,4051,86,3956,9,1,23134,491,399901,2283700,175111
Chile,South America,1082920,24483,1012904,45533,3203,56273,1272,11971224,622075,19244023
China Hong Kong Sar,Asia,11595,207,11214,174,7,1537,27,11193673,1483712,7544369
China Macao Sar,Asia,49,,48,1,,75,,4418,6733,656216
China,Asia,90435,4636,85506,293,4,63,3,160000000,111163,1439323776
Colombia,South America,2552937,66156,2395733,91048,3079,49760,1289,13367485,260549,51305017
Comoros,Africa,3789,146,3577,66,,4286,165,,,883955
Congo,Africa,10084,137,8208,1739,,1793,24,92500,16450,5623185
Costa Rica,North America,222544,3018,194760,24766,199,43378,588,842015,164124,5130346
Cote D Ivoire,Africa,45227,268,44683,276,,1682,10,557294,20730,26883682
Croatia,Europe,292938,6333,274761,11844,191,71703,1550,1642311,401991,4085445
Cuba,North America,87385,467,81900,5018,58,7719,41,3235144,285759,11321213
Curacao,North America,11385,68,6845,4472,22,69161,413,85247,517851,164617
Cyprus,Asia,52033,273,39061,12699,56,42853,225,4001418,3295494,1214209
Czech Republic,Europe,1581184,27918,1466296,86970,1157,147437,2603,14397254,1342465,10724495
Democratic Republic Of The Congo,Africa,28542,745,25841,1956,,311,8,143197,1562,91662959
Denmark,Europe,238306,2443,227244,8619,40,41030,421,29457120,5071713,5808121
Djibouti,Africa,9975,100,8184,1691,,9983,100,140642,140760,999165
Dominica,North America,165,,159,6,,2288,,13500,187172,72126
Dominican Republic,North America,258039,3392,216780,37867,151,23603,310,1348754,123370,10932601
Ecuador,South America,347070,17298,290314,39458,593,19442,969,1195370,66963,17851195
Egypt,Africa,211307,12487,159999,38821,90,2035,120,2677262,25785,103831623
El Salvador,North America,66657,2054,63072,1531,60,10236,315,873873,134200,6511733
Equatorial Guinea,Africa,7219,106,6799,314,11,5018,74,115364,80196,1438522
Eritrea,Africa,3466,10,3196,260,,967,3,23693,6610,3584575
Estonia,Europe,114443,1037,95246,18160,72,86227,781,1198522,903024,1327232
Ethiopia,Africa,230944,3208,171980,55756,983,1971,27,2453287,20938,117166929
Faeroe Islands,Europe,661,1,660,0,,13488,20,246793,5035770,49008
Falkland Islands Malvinas,South America,60,,54,6,,16863,,7165,2013772,3558
Fiji,Australia/Oceania,68,2,64,2,,75,2,40300,44703,901508
Finland,Europe,82278,874,46000,35404,42,14832,158,4148800,747876,5547442
France,Europe,5067216,99135,310934,4657147,5916,77497,1516,70140847,1072715,65386285
French Guiana,South America,17706,94,9995,7617,9,58116,309,171169,561820,304669
